  2, 1, 1, 7, 53, 49, 26, 2, 6, 1, 0, 1, 1, 9, 69, 22, 115, 2, 0, 0, 0, 0, 16, 111, 115, 11, 9, 0, 0, 0, 0, 28, 26, 64, 13, 38, 27, 8, 21, 9, 47, 33, 0, 0, 1, 5, 115, 74, 47, 8, 29, 27, 9, 1, 45, 115, 46, 58, 111, 17, 1, 0, 1, 22, 59, 57, 4, 5, 44, 34, 2, 11, 115, 52, 0, 1, 3, 3, 8, 49, 23, 5, 10, 29, 32, 45, 77, 29, 25, 14, 22, 13, 5, 7, 78, 115, 35, 13, 1, 0, 56, 109, 3, 9, 109, 115, 55, 0, 3, 3, 2, 19, 11, 108, 115, 0, 0, 8, 36, 14, 6, 78, 40, 0, 0, 1, 30, 39;
  60, 55, 1, 2, 4, 3, 0, 0, 140, 140, 0, 0, 0, 0, 0, 0, 62, 26, 0, 0, 1, 3, 1, 1, 0, 0, 0, 1, 3, 5, 2, 0, 44, 8, 1, 2, 2, 6, 39, 36, 140, 53, 3, 0, 0, 0, 5, 70, 132, 53, 24, 0, 0, 2, 3, 4, 3, 9, 2, 0, 0, 11, 11, 1, 45, 29, 2, 1, 1, 4, 74, 104, 109, 24, 40, 16, 9, 8, 25, 140, 94, 120, 101, 9, 2, 2, 6, 44, 57, 31, 3, 0, 0, 6, 3, 16, 140, 72, 4, 1, 3, 8, 3, 15, 58, 34, 26, 6, 9, 22, 59, 42, 46, 33, 21, 3, 2, 4, 43, 140, 27, 11, 2, 0, 0, 3, 1, 37;
  14, 59, 24, 4, 14, 1, 2, 1, 12, 2, 1, 10, 109, 8, 0, 4, 121, 1, 0, 3, 15, 2, 0, 21, 19, 1, 0, 17, 109, 0, 0, 3, 121, 113, 7, 0, 15, 1, 0, 10, 34, 5, 0, 11, 121, 7, 0, 3, 121, 13, 0, 7, 19, 1, 0, 9, 13, 3, 0, 28, 121, 0, 0, 1, 121, 9, 1, 21, 15, 0, 1, 109, 38, 12, 10, 87, 94, 0, 0, 4, 121, 16, 3, 8, 20, 0, 0, 13, 8, 1, 0, 22, 121, 0, 0, 2, 27, 1, 2, 104, 25, 0, 7, 59, 52, 44, 34, 121, 23, 0, 0, 0, 121, 46, 7, 6, 15, 0, 0, 1, 4, 1, 0, 18, 109, 0, 0, 0;
  118, 0, 0, 1, 5, 0, 0, 7, 25, 0, 0, 7, 84, 1, 0, 2, 72, 2, 0, 5, 38, 1, 0, 7, 5, 0, 2, 71, 137, 12, 0, 1, 143, 0, 0, 0, 8, 1, 0, 7, 32, 0, 0, 3, 109, 3, 0, 2, 98, 1, 0, 8, 75, 1, 0, 7, 5, 0, 4, 106, 145, 3, 0, 1, 140, 4, 0, 1, 10, 1, 0, 5, 34, 2, 0, 14, 109, 2, 0, 2, 97, 4, 0, 4, 85, 1, 0, 2, 4, 0, 0, 5, 145, 22, 1, 0, 117, 2, 0, 1, 13, 1, 0, 5, 30, 2, 0, 9, 101, 2, 0, 2, 84, 4, 0, 4, 64, 0, 0, 2, 3, 0, 0, 11, 145, 4, 0, 0;
  145, 5, 0, 0, 3, 0, 0, 7, 61, 1, 0, 1, 85, 5, 0, 3, 102, 3, 0, 2, 30, 2, 0, 8, 12, 1, 0, 4, 117, 4, 0, 1, 145, 28, 1, 0, 4, 0, 0, 3, 83, 2, 0, 1, 97, 6, 0, 3, 110, 3, 0, 1, 34, 2, 0, 12, 10, 1, 0, 4, 141, 5, 0, 1, 145, 5, 0, 0, 5, 0, 3, 98, 77, 1, 0, 6, 99, 1, 0, 7, 109, 4, 0, 1, 32, 0, 0, 2, 8, 1, 0, 5, 144, 0, 0, 0, 138, 14, 0, 1, 4, 0, 2, 72, 40, 2, 0, 6, 73, 2, 0, 5, 85, 1, 0, 1, 25, 1, 0, 6, 6, 0, 0, 5, 118, 1, 0, 0;
  48, 54, 4, 12, 138, 8, 0, 0, 144, 146, 2, 1, 2, 0, 0, 1, 22, 36, 2, 1, 2, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 33, 30, 12, 32, 146, 15, 0, 0, 146, 96, 0, 2, 12, 2, 0, 18, 115, 18, 0, 0, 1, 3, 2, 25, 0, 0, 0, 0, 5, 3, 1, 1, 29, 10, 20, 54, 34, 2, 1, 17, 146, 29, 0, 3, 5, 0, 0, 61, 141, 18, 2, 0, 4, 7, 1, 11, 0, 0, 1, 0, 9, 8, 0, 0, 18, 21, 5, 5, 18, 20, 2, 9, 111, 146, 39, 0, 1, 0, 0, 28, 33, 146, 92, 1, 1, 1, 0, 2, 1, 50, 15, 1, 3, 4, 1, 0;
  5, 11, 6, 10, 24, 9, 5, 20, 4, 16, 31, 63, 68, 13, 1, 1, 40, 72, 27, 8, 2, 1, 0, 5, 7, 21, 4, 0, 0, 0, 0, 1, 2, 24, 14, 28, 49, 1, 2, 1, 22, 48, 59, 143, 143, 18, 4, 9, 143, 143, 52, 35, 16, 4, 3, 40, 38, 12, 0, 0, 0, 0, 6, 20, 1, 1, 1, 3, 40, 29, 25, 4, 17, 4, 1, 20, 143, 143, 117, 65, 143, 12, 1, 3, 11, 24, 79, 143, 27, 2, 0, 0, 0, 0, 9, 60, 1, 6, 3, 1, 1, 15, 54, 9, 0, 1, 0, 0, 2, 80, 103, 13, 4, 0, 1, 1, 2, 16, 57, 61, 5, 12, 11, 4, 4, 4, 1, 9;
  7, 12, 5, 7, 4, 4, 8, 5, 1, 17, 81, 59, 7, 0, 0, 0, 2, 60, 118, 15, 0, 1, 1, 0, 1, 6, 49, 15, 1, 1, 1, 0, 0, 0, 1, 51, 38, 4, 2, 1, 11, 32, 81, 142, 142, 17, 2, 2, 142, 142, 108, 54, 19, 5, 2, 11, 39, 22, 15, 7, 1, 4, 3, 3, 0, 0, 4, 33, 36, 11, 0, 0, 14, 5, 2, 30, 142, 142, 52, 22, 142, 27, 3, 7, 23, 62, 73, 142, 73, 4, 0, 1, 2, 18, 21, 26, 0, 0, 0, 1, 5, 15, 5, 0, 0, 0, 0, 1, 30, 77, 25, 4, 47, 17, 0, 1, 9, 27, 39, 46, 37, 24, 5, 13, 5, 3, 3, 7;
  46, 13, 2, 43, 125, 0, 0, 0, 136, 0, 0, 22, 100, 1, 0, 56, 136, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 0, 0, 0, 0, 1, 56, 25, 6, 98, 114, 0, 0, 0, 136, 18, 2, 35, 53, 0, 0, 62, 136, 6, 0, 0, 1, 2, 1, 47, 1, 1, 1, 0, 1, 3, 3, 1, 39, 33, 20, 116, 70, 0, 0, 3, 136, 53, 2, 27, 19, 0, 0, 43, 136, 31, 0, 0, 1, 1, 1, 21, 1, 1, 0, 1, 1, 1, 2, 2, 33, 8, 24, 43, 7, 0, 0, 38, 136, 1, 0, 5, 2, 0, 0, 136, 57, 1, 0, 0, 2, 1, 2, 56, 0, 0, 0, 2, 3, 1, 1, 1;
  65, 7, 0, 0, 31, 17, 1, 13, 164, 48, 2, 0, 0, 0, 0, 18, 53, 36, 23, 12, 1, 0, 0, 5, 131, 71, 5, 1, 0, 0, 0, 0, 56, 10, 0, 0, 47, 15, 0, 1, 164, 40, 1, 0, 3, 2, 1, 13, 77, 22, 11, 14, 44, 11, 3, 12, 164, 72, 4, 3, 5, 1, 1, 8, 41, 0, 0, 0, 27, 29, 4, 15, 164, 2, 0, 0, 3, 3, 2, 47, 86, 2, 0, 1, 28, 26, 39, 32, 161, 6, 0, 0, 3, 5, 23, 89, 28, 0, 0, 0, 4, 20, 8, 10, 164, 2, 0, 0, 0, 2, 1, 25, 96, 2, 0, 0, 0, 1, 17, 44, 69, 23, 1, 1, 0, 0, 8, 33;
  10, 5, 44, 40, 1, 1, 2, 6, 4, 39, 46, 4, 0, 11, 3, 0, 7, 6, 1, 0, 0, 24, 12, 12, 87, 0, 0, 0, 0, 2, 5, 82, 11, 17, 62, 129, 31, 1, 1, 17, 121, 94, 52, 8, 0, 0, 0, 35, 64, 33, 27, 1, 0, 2, 4, 12, 129, 9, 1, 0, 0, 0, 1, 62, 10, 1, 1, 37, 44, 5, 17, 129, 49, 9, 29, 39, 24, 6, 13, 101, 109, 76, 104, 37, 4, 0, 0, 5, 129, 29, 3, 0, 0, 0, 0, 53, 48, 0, 0, 5, 17, 9, 7, 108, 3, 1, 4, 50, 129, 16, 6, 18, 129, 23, 16, 35, 37, 0, 0, 37, 129, 3, 0, 0, 0, 0, 0, 70;
  2, 2, 1, 4, 26, 0, 0, 0, 19, 0, 0, 8, 137, 3, 0, 2, 137, 2, 0, 1, 15, 1, 0, 10, 25, 1, 0, 1, 2, 4, 2, 3, 2, 1, 0, 3, 38, 1, 1, 3, 27, 6, 0, 28, 137, 2, 0, 0, 137, 11, 0, 6, 15, 1, 1, 21, 32, 0, 0, 0, 2, 15, 8, 15, 0, 32, 81, 24, 30, 1, 1, 1, 37, 18, 27, 99, 137, 0, 0, 1, 137, 59, 6, 8, 10, 0, 0, 14, 31, 11, 12, 6, 9, 4, 1, 6, 0, 50, 137, 36, 3, 0, 0, 0, 10, 63, 137, 137, 15, 0, 0, 0, 55, 137, 76, 6, 1, 0, 0, 0, 4, 69, 137, 3, 1, 0, 0, 0;
  9, 4, 0, 0, 5, 3, 2, 4, 127, 5, 0, 1, 18, 7, 1, 1, 206, 13, 0, 0, 1, 1, 0, 2, 43, 4, 2, 3, 7, 7, 3, 7, 16, 17, 0, 1, 6, 0, 0, 0, 148, 10, 0, 3, 30, 2, 0, 1, 206, 11, 0, 0, 1, 0, 0, 6, 65, 2, 0, 1, 5, 5, 2, 6, 21, 7, 0, 2, 3, 0, 0, 0, 145, 2, 0, 5, 17, 1, 0, 9, 206, 4, 0, 0, 0, 1, 1, 18, 63, 1, 0, 0, 3, 13, 5, 8, 19, 4, 0, 1, 2, 0, 0, 1, 121, 1, 0, 2, 6, 1, 0, 11, 206, 3, 0, 0, 0, 0, 0, 21, 52, 3, 0, 0, 0, 4, 3, 8;
  43, 14, 1, 1, 139, 47, 0, 1, 143, 76, 10, 6, 12, 5, 2, 11, 43, 17, 15, 38, 64, 19, 5, 31, 55, 0, 0, 2, 11, 5, 7, 110, 31, 20, 1, 2, 143, 47, 2, 2, 111, 142, 34, 4, 18, 12, 3, 4, 143, 69, 44, 21, 6, 0, 0, 59, 89, 3, 1, 8, 14, 0, 0, 55, 17, 11, 8, 18, 101, 19, 1, 1, 79, 25, 3, 4, 34, 10, 1, 2, 143, 24, 1, 0, 0, 0, 0, 34, 60, 1, 0, 21, 35, 0, 0, 21, 0, 7, 26, 20, 55, 12, 0, 0, 58, 11, 2, 5, 28, 3, 0, 0, 143, 38, 0, 0, 1, 0, 0, 1, 56, 4, 0, 27, 70, 0, 0, 1;
  35, 0, 0, 0, 2, 1, 4, 20, 77, 4, 0, 1, 4, 13, 28, 29, 168, 21, 0, 0, 0, 1, 1, 7, 51, 2, 0, 1, 5, 1, 0, 1, 99, 7, 2, 3, 8, 2, 1, 23, 95, 14, 2, 13, 70, 11, 5, 22, 168, 34, 1, 3, 6, 1, 0, 3, 70, 3, 1, 10, 7, 0, 0, 1, 164, 3, 1, 6, 24, 4, 1, 21, 110, 1, 0, 2, 104, 37, 2, 19, 168, 13, 0, 1, 9, 4, 0, 10, 65, 6, 1, 8, 12, 2, 0, 0, 162, 2, 0, 2, 16, 3, 1, 17, 79, 5, 0, 3, 93, 31, 1, 9, 168, 31, 0, 1, 11, 3, 0, 1, 59, 6, 0, 0, 5, 6, 1, 0;
  2, 9, 1, 1, 0, 0, 0, 0, 104, 11, 2, 2, 0, 0, 0, 0, 201, 6, 0, 0, 0, 0, 0, 6, 80, 3, 0, 1, 1, 0, 0, 2, 0, 12, 4, 1, 0, 0, 0, 0, 126, 19, 5, 3, 0, 0, 0, 1, 201, 16, 0, 0, 0, 0, 0, 6, 95, 2, 0, 0, 0, 0, 2, 8, 2, 7, 3, 2, 0, 0, 0, 0, 141, 11, 5, 5, 0, 0, 0, 5, 201, 4, 0, 0, 0, 0, 0, 31, 90, 0, 1, 0, 0, 3, 9, 19, 1, 3, 28, 9, 0, 0, 1, 1, 118, 25, 17, 11, 0, 0, 2, 9, 201, 55, 11, 0, 0, 0, 0, 12, 52, 24, 72, 22, 0, 1, 1, 4;
