[501, 137]
[505, 137]
[521, 138]
[526, 138]
[187, 139]
[381, 139]
[575, 139]
[526, 140]
[528, 140]
[530, 140]
[578, 140]
[251, 141]
[514, 141]
[381, 142]
[520, 142]
[528, 142]
[604, 142]
[608, 142]
[184, 144]
[540, 144]
[528, 145]
[340, 146]
[515, 147]
[540, 148]
[576, 148]
[579, 149]
[516, 150]
[518, 150]
[527, 150]
[279, 151]
[521, 151]
[577, 151]
[579, 151]
[526, 152]
[533, 152]
[536, 152]
[571, 152]
[37, 153]
[503, 153]
[511, 153]
[66, 154]
[272, 154]
[274, 154]
[578, 154]
[71, 155]
[283, 155]
[534, 155]
[302, 156]
[498, 156]
[61, 157]
[311, 157]
[607, 157]
[328, 158]
[498, 158]
[500, 158]
[624, 158]
[61, 160]
[310, 160]
[498, 160]
[500, 160]
[546, 160]
[495, 161]
[601, 161]
[4, 162]
[280, 162]
[498, 162]
[500, 162]
[538, 162]
[628, 162]
[8, 164]
[498, 164]
[500, 164]
[90, 166]
[498, 166]
[500, 166]
[505, 166]
[596, 166]
[281, 167]
[495, 167]
[6, 168]
[30, 168]
[32, 168]
[34, 168]
[36, 168]
[498, 168]
[500, 168]
[510, 168]
[10, 170]
[46, 170]
[60, 170]
[88, 170]
[90, 170]
[92, 170]
[376, 170]
[459, 170]
[3, 171]
[28, 172]
[97, 173]
[629, 173]
[498, 174]
[618, 174]
[620, 174]
[633, 174]
[636, 174]
[33, 175]
[500, 176]
[616, 176]
[624, 176]
[626, 176]
[621, 177]
[310, 178]
[494, 178]
[500, 178]
[635, 179]
[34, 180]
[494, 180]
[500, 180]
[616, 180]
[622, 180]
[630, 180]
[283, 181]
[497, 181]
[577, 181]
[625, 181]
[636, 181]
[98, 182]
[494, 182]
[568, 182]
[614, 182]
[616, 182]
[630, 182]
[497, 183]
[621, 183]
[627, 183]
[494, 184]
[500, 184]
[564, 184]
[631, 184]
[635, 184]
[109, 185]
[497, 185]
[617, 185]
[625, 185]
[627, 185]
[629, 185]
[27, 186]
[68, 186]
[74, 186]
[494, 186]
[500, 186]
[503, 186]
[538, 186]
[546, 186]
[623, 186]
[632, 186]
[636, 186]
[101, 187]
[281, 187]
[511, 187]
[561, 187]
[613, 187]
[615, 187]
[617, 187]
[627, 187]
[428, 188]
[530, 188]
[542, 188]
[625, 189]
[631, 189]
[38, 190]
[233, 190]
[270, 190]
[272, 190]
[500, 190]
[510, 190]
[516, 190]
[526, 190]
[533, 190]
[537, 190]
[544, 190]
[546, 190]
[558, 190]
[594, 190]
[621, 190]
[519, 191]
[614, 191]
[631, 191]
[635, 191]
[98, 192]
[306, 192]
[512, 192]
[558, 192]
[560, 192]
[235, 193]
[497, 193]
[521, 193]
[553, 193]
[160, 194]
[184, 194]
[486, 194]
[490, 194]
[515, 194]
[526, 194]
[532, 194]
[542, 194]
[550, 194]
[594, 194]
[598, 194]
[621, 194]
[631, 194]
[633, 194]
[494, 195]
[503, 195]
[505, 195]
[507, 195]
[562, 195]
[613, 195]
[626, 195]
[98, 196]
[515, 196]
[520, 196]
[528, 196]
[530, 196]
